23.0	10.0	0.00	0.00	9.02
24.1	-7.1	0.00	0.00	9.02
30.0	10.9	0.00	0.00	9.02
37.9	28.9	0.01	0.00	7.99
41.0	30.9	0.00	0.00	5.98
43.0	34.0	0.00	0.00	5.00
37.0	28.0	0.00	0.00	5.00
35.1	28.9	0.01	0.00	4.02
39.0	28.0	0.00	0.00	4.02
30.9	23.0	0.00	0.00	4.02
30.9	18.0	0.00	0.00	4.02
36.0	28.9	0.00	0.00	4.02
37.9	32.0	1.30	0.00	2.99
39.0	25.0	0.17	0.00	2.99
34.0	19.9	0.01	0.00	2.01
34.0	26.1	0.24	2.01	2.99
37.9	28.9	0.10	0.00	2.99
39.9	32.0	0.39	0.00	2.01
39.9	30.0	0.03	0.00	2.01
41.0	32.0	0.50	0.00	0.98
39.0	30.9	0.23	0.00	0.00
45.0	35.1	0.13	0.00	0.00
44.1	32.0	0.23	0.00	0.00
44.1	34.0	0.09	0.00	0.00
39.9	28.0	0.00	0.00	0.00
39.0	30.0	0.01	0.00	0.00
44.1	36.0	0.05	0.00	0.00
39.9	36.0	0.67	0.00	0.00
39.9	32.0	0.32	0.00	0.00
39.0	30.9	0.02	0.00	0.00
37.9	28.9	0.01	0.00	0.00
